# Sensor Name:,internal_sensor,Pin:,4,InfluxDB Org:,thz_lab,InfluxDB Bucket:,sensor_data
date,time,temperature,humidity
2025-02-23,17:29:09,23.0,33.9
2025-02-23,17:31:11,22.4,34.8
2025-02-23,17:31:21,22.4,35.0
2025-02-23,17:33:48,22.6,33.7
2025-02-23,17:34:53,22.6,34.7
2025-02-23,17:35:45,22.6,34.6
2025-02-23,17:36:46,22.7,34.7
2025-02-23,17:38:47,22.7,34.7
2025-02-23,17:39:47,22.8,34.3
2025-02-23,17:40:50,22.7,33.6
2025-02-23,17:41:32,22.8,34.4
2025-02-23,17:42:32,22.8,34.3
2025-02-23,17:43:32,22.8,33.4
2025-02-23,17:44:32,22.8,34.9
2025-02-23,17:45:32,22.8,35.0
2025-02-23,17:46:34,22.8,33.5
2025-02-23,17:47:32,22.8,34.7
2025-02-23,17:48:32,22.8,33.5
2025-02-23,17:49:32,22.8,34.6
2025-02-23,17:50:32,22.8,33.3
2025-02-23,17:51:34,22.8,33.0
2025-02-23,17:52:37,22.7,34.1
2025-02-23,17:53:07,22.7,34.1
2025-02-23,17:54:09,22.7,32.9
2025-02-23,17:55:07,22.8,34.2
2025-02-23,17:56:07,22.7,34.0
2025-02-23,17:57:07,22.8,33.9
2025-02-23,17:57:38,22.7,32.5
2025-02-23,17:58:40,22.7,32.5
2025-02-23,17:59:40,22.7,33.6
2025-02-23,18:00:43,22.7,32.6
2025-02-23,18:01:40,22.7,33.7
2025-02-23,18:02:40,22.7,33.9
2025-02-23,18:03:40,22.7,33.8
2025-02-23,18:04:43,22.6,32.6
2025-02-23,18:05:40,22.6,33.8
2025-02-23,18:06:40,22.6,32.7
2025-02-23,18:07:40,22.5,32.6
2025-02-23,18:08:40,22.5,32.7
2025-02-23,18:09:40,22.5,32.8
2025-02-23,18:10:40,22.5,32.7
2025-02-23,18:11:40,22.5,34.0
2025-02-23,18:12:40,22.5,34.1
2025-02-23,18:13:40,22.5,34.1
2025-02-23,18:14:40,22.4,34.0
2025-02-23,18:15:43,22.4,32.8
2025-02-23,18:16:43,22.4,32.9
2025-02-23,18:17:43,22.4,32.9
2025-02-23,18:18:40,22.4,34.1
2025-02-23,18:19:43,22.4,33.0
2025-02-23,18:20:43,22.3,32.9
2025-02-23,18:21:43,22.3,32.9
2025-02-23,18:22:43,22.3,33.0
2025-02-23,18:23:43,22.3,33.0
2025-02-23,18:24:40,22.3,34.2
2025-02-23,18:25:40,22.2,34.2
2025-02-23,18:26:40,22.2,34.3
2025-02-23,18:27:40,22.2,34.5
2025-02-23,18:28:40,22.1,34.4
2025-02-23,18:29:40,22.1,34.4
2025-02-23,18:30:40,22.0,33.2
2025-02-23,18:31:40,22.0,33.2
2025-02-23,18:32:43,22.0,34.1
2025-02-23,18:33:40,22.0,34.4
2025-02-23,18:34:40,22.0,33.1
2025-02-23,18:35:43,22.0,33.1
2025-02-23,18:36:40,22.0,34.3
2025-02-23,18:37:51,22.0,34.3
2025-02-23,20:16:06,22.2,35.9
2025-02-23,20:17:04,22.2,37.0
2025-02-23,20:18:04,22.3,36.7
2025-02-23,20:19:04,22.3,37.1
2025-02-23,20:29:50,22.9,35.9
2025-02-23,20:34:15,22.9,37.1
2025-02-23,20:35:17,22.8,38.2
2025-02-23,20:36:15,22.8,38.2
2025-02-23,20:37:15,22.8,38.1
2025-02-23,20:41:10,22.8,38.4
2025-02-23,21:03:19,22.8,38.1
2025-02-23,21:04:19,22.8,39.9
2025-02-23,21:09:19,22.8,39.7
2025-02-23,21:14:55,22.8,39.8
2025-02-23,21:15:56,22.6,40.9
2025-02-23,21:18:39,22.8,39.7
2025-02-23,21:21:06,22.8,40.8
2025-02-23,21:22:06,22.9,40.5
2025-02-23,21:23:06,22.9,40.8
2025-02-23,21:24:06,22.9,40.5
2025-02-23,21:25:06,22.9,40.7
2025-02-23,21:26:06,22.8,39.0
2025-02-23,21:27:06,22.8,40.2
2025-02-23,21:28:08,22.9,39.7
2025-02-23,21:29:08,22.8,38.6
2025-02-23,21:30:06,22.9,39.8
2025-02-23,21:31:06,22.9,38.7
2025-02-23,21:32:06,22.8,38.7
2025-02-23,21:33:06,22.8,38.7
2025-02-23,21:34:06,22.7,39.9
2025-02-23,21:35:06,22.7,40.0
2025-02-23,21:36:06,22.7,40.0
2025-02-23,21:37:06,22.6,40.0
2025-02-23,21:38:06,22.7,38.7
2025-02-23,21:39:06,22.6,39.8
